 央视频道,#genre#
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-12社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-16奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

 地方卫视,#genre#
江苏卫视高清,http://111.226.119.230:9999/tsfile/live/1015_1.m3u8
北京卫视高清,http://111.226.119.230:9999/tsfile/live/1011_1.m3u8
湖南卫视高清,http://111.226.119.230:9999/tsfile/live/1012_1.m3u8
黑龙江卫视高清,http://111.226.119.230:9999/tsfile/live/1013_1.m3u8
深圳卫视高清,http://111.226.119.230:9999/tsfile/live/1014_1.m3u8
东方卫视高清,http://111.226.119.230:9999/tsfile/live/1016_1.m3u8
浙江卫视高清,http://111.226.119.230:9999/tsfile/live/1017_1.m3u8
天津卫视高清,http://111.226.119.230:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://111.226.119.230:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://111.226.119.230:9999/tsfile/live/0121_1.m3u8
山东卫视,http://111.226.119.230:9999/tsfile/live/0131_1.m3u8
云南卫视,http://111.226.119.230:9999/tsfile/live/0119_1.m3u8
河南卫视,http://111.226.119.230:9999/tsfile/live/0139_1.m3u8
四川卫视,http://111.226.119.230:9999/tsfile/live/0123_1.m3u8
江西卫视,http://111.226.119.230:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://111.226.119.230:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://111.226.119.230:9999/tsfile/live/0132_1.m3u8
东方卫视,http://111.226.119.230:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://111.226.119.230:9999/tsfile/live/0142_1.m3u8
东南卫视,http://111.226.119.230:9999/tsfile/live/0137_1.m3u8
广东卫视,http://111.226.119.230:9999/tsfile/live/0125_1.m3u8
广西卫视,http://111.226.119.230:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://111.226.119.230:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://111.226.119.230:9999/tsfile/live/0136_1.m3u8
山西卫视,http://111.226.119.230:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://111.226.119.230:9999/tsfile/live/0109_1.m3u8
青海卫视,http://111.226.119.230:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://111.226.119.230:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://111.226.119.230:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://111.226.119.230:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://111.226.119.230:9999/tsfile/live/0141_1.m3u8
北京卫视高清,http://106.115.25.89:9999/tsfile/live/1011_1.m3u8
湖南卫视高清,http://106.115.25.89:9999/tsfile/live/1012_1.m3u8
黑龙江卫视高清,http://106.115.25.89:9999/tsfile/live/1013_1.m3u8
深圳卫视高清,http://106.115.25.89:9999/tsfile/live/1014_1.m3u8
江苏卫视高清,http://106.115.25.89:9999/tsfile/live/1015_1.m3u8
东方卫视高清,http://106.115.25.89:9999/tsfile/live/1016_1.m3u8
浙江卫视高清,http://106.115.25.89:9999/tsfile/live/1017_1.m3u8
天津卫视高清,http://106.115.25.89:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.25.89:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.25.89:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.25.89:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.25.89:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.25.89:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.25.89:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.25.89:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.25.89:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.25.89:9999/tsfile/live/0132_1.m3u8
东方卫视,http://106.115.25.89:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://106.115.25.89:9999/tsfile/live/0142_1.m3u8
东南卫视,http://106.115.25.89:9999/tsfile/live/0137_1.m3u8
广东卫视,http://106.115.25.89:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.25.89:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.25.89:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.25.89:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.25.89:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.25.89:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.25.89:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.25.89:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.25.89:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.25.89:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.25.89:9999/tsfile/live/0141_1.m3u8
